	station id	stationname	date	daytype	rides	year	month	day	week_day
861834	40470	Racine	2001-04-16	W	1367	2001	4	16	Mon
861929	40470	Racine	2003-01-03	W	1242	2003	1	3	Fri
862199	40470	Racine	2012-09-26	W	2778	2012	9	26	Wed
862211	40470	Racine	2006-02-24	W	3079	2006	2	24	Fri
862526	40470	Racine	2004-01-07	W	2483	2004	1	7	Wed
862763	40470	Racine	2005-06-02	W	2442	2005	6	2	Thu
863272	40470	Racine	2012-01-18	W	2507	2012	1	18	Wed
863472	40470	Racine	2004-10-01	W	2799	2004	10	1	Fri
863519	40470	Racine	2016-10-31	W	2407	2016	10	31	Mon
863586	40470	Racine	2009-05-02	A	1120	2009	5	2	Sat
864212	40470	Racine	2013-10-20	U	1064	2013	10	20	Sun
864234	40470	Racine	2005-02-27	U	561	2005	2	27	Sun
864526	40470	Racine	2011-08-15	W	2106	2011	8	15	Mon
864609	40470	Racine	2007-06-01	W	2370	2007	6	1	Fri
864689	40470	Racine	2005-05-07	A	1281	2005	5	7	Sat
864931	40470	Racine	2004-03-30	W	2414	2004	3	30	Tue
865034	40470	Racine	2013-03-20	W	2651	2013	3	20	Wed
865352	40470	Racine	2011-04-04	W	2400	2011	4	4	Mon
865481	40470	Racine	2009-03-21	A	1196	2009	3	21	Sat
865482	40470	Racine	2017-03-31	W	2341	2017	3	31	Fri
865543	40470	Racine	2004-02-06	W	2401	2004	2	6	Fri
865615	40470	Racine	2003-05-08	W	2371	2003	5	8	Thu
865617	40470	Racine	2016-06-11	A	2530	2016	6	11	Sat
865745	40470	Racine	2008-02-16	A	908	2008	2	16	Sat
866213	40470	Racine	2007-11-21	W	2291	2007	11	21	Wed
866395	40470	Racine	2008-01-09	W	2709	2008	1	9	Wed
866445	40470	Racine	2011-08-29	W	1655	2011	8	29	Mon
866584	40470	Racine	2014-02-21	W	2875	2014	2	21	Fri
866621	40470	Racine	2005-04-23	A	941	2005	4	23	Sat
866854	40470	Racine	2013-04-24	W	2011	2013	4	24	Wed
866909	40470	Racine	2011-01-12	W	2380	2011	1	12	Wed
866949	40470	Racine	2003-11-05	W	2791	2003	11	5	Wed
867203	40470	Racine	2007-02-15	W	2305	2007	2	15	Thu
867258	40470	Racine	2015-04-30	W	2831	2015	4	30	Thu
867390	40470	Racine	2014-06-19	W	1904	2014	6	19	Thu
867537	40470	Racine	2001-04-08	U	468	2001	4	8	Sun
867771	40470	Racine	2004-01-26	W	2420	2004	1	26	Mon
868095	40470	Racine	2004-04-10	A	760	2004	4	10	Sat
868215	40470	Racine	2006-04-04	W	2480	2006	4	4	Tue
868327	40470	Racine	2014-11-28	W	892	2014	11	28	Fri
868475	40470	Racine	2009-10-11	U	1715	2009	10	11	Sun
868579	40470	Racine	2010-08-06	W	1870	2010	8	6	Fri
868629	40470	Racine	2011-12-02	W	2702	2011	12	2	Fri
868808	40470	Racine	2007-11-19	W	2469	2007	11	19	Mon
868815	40470	Racine	2017-06-16	W	1994	2017	6	16	Fri
869035	40470	Racine	2005-11-30	W	2544	2005	11	30	Wed
869047	40470	Racine	2002-01-11	W	2576	2002	1	11	Fri
869050	40470	Racine	2008-08-07	W	1545	2008	8	7	Thu
869058	40470	Racine	2006-02-25	A	885	2006	2	25	Sat
869462	40470	Racine	2008-03-23	U	347	2008	3	23	Sun
869599	40470	Racine	2016-09-09	W	2542	2016	9	9	Fri
870213	40470	Racine	2005-02-21	W	1239	2005	2	21	Mon
870749	40470	Racine	2008-11-07	W	1794	2008	11	7	Fri
870758	40470	Racine	2004-09-27	W	2670	2004	9	27	Mon
870763	40470	Racine	2016-02-07	U	664	2016	2	7	Sun
870914	40470	Racine	2014-10-03	W	2959	2014	10	3	Fri
870954	40470	Racine	2008-02-24	U	537	2008	2	24	Sun
871171	40470	Racine	2016-10-04	W	2408	2016	10	4	Tue
871327	40470	Racine	2002-03-14	W	2456	2002	3	14	Thu
871406	40470	Racine	2002-05-30	W	2450	2002	5	30	Thu
871439	40470	Racine	2004-07-06	W	1471	2004	7	6	Tue
871717	40470	Racine	2005-05-31	W	2360	2005	5	31	Tue
871879	40470	Racine	2015-05-12	W	2786	2015	5	12	Tue
872004	40470	Racine	2015-08-15	A	1294	2015	8	15	Sat
872044	40470	Racine	2012-07-07	A	802	2012	7	7	Sat
872090	40470	Racine	2016-03-18	W	2715	2016	3	18	Fri
872116	40470	Racine	2017-03-11	A	1015	2017	3	11	Sat
872137	40470	Racine	2014-01-17	W	2940	2014	1	17	Fri
872354	40470	Racine	2002-07-05	W	1340	2002	7	5	Fri
872587	40470	Racine	2016-08-08	W	1572	2016	8	8	Mon
872729	40470	Racine	2012-07-04	U	871	2012	7	4	Wed
872770	40470	Racine	2004-10-31	U	655	2004	10	31	Sun
872861	40470	Racine	2010-05-23	U	669	2010	5	23	Sun
872905	40470	Racine	2004-10-03	U	650	2004	10	3	Sun
873147	40470	Racine	2002-10-12	A	961	2002	10	12	Sat
873408	40470	Racine	2006-03-27	W	2425	2006	3	27	Mon
873521	40470	Racine	2003-06-10	W	2232	2003	6	10	Tue
873891	40470	Racine	2006-08-03	W	1428	2006	8	3	Thu
873958	40470	Racine	2010-05-27	W	2360	2010	5	27	Thu
874018	40470	Racine	2016-01-03	U	568	2016	1	3	Sun
874199	40470	Racine	2017-02-25	A	696	2017	2	25	Sat
874278	40470	Racine	2001-06-05	W	2213	2001	6	5	Tue
874422	40470	Racine	2002-11-23	A	1139	2002	11	23	Sat
874522	40470	Racine	2014-05-13	W	2721	2014	5	13	Tue
874590	40470	Racine	2013-08-16	W	1939	2013	8	16	Fri
874672	40470	Racine	2002-07-22	W	1560	2002	7	22	Mon
875116	40470	Racine	2005-02-07	W	2433	2005	2	7	Mon
875252	40470	Racine	2012-07-12	W	2050	2012	7	12	Thu
875394	40470	Racine	2007-04-04	W	1286	2007	4	4	Wed
875400	40470	Racine	2003-05-18	U	522	2003	5	18	Sun
875422	40470	Racine	2013-12-25	U	286	2013	12	25	Wed
875637	40470	Racine	2017-06-09	W	3201	2017	6	9	Fri
875710	40470	Racine	2001-01-01	U	286	2001	1	1	Mon
875830	40470	Racine	2012-10-07	U	2584	2012	10	7	Sun
875942	40470	Racine	2013-05-24	W	2462	2013	5	24	Fri
876125	40470	Racine	2005-05-15	U	594	2005	5	15	Sun
876223	40470	Racine	2005-09-29	W	2751	2005	9	29	Thu
876248	40470	Racine	2008-06-07	A	1120	2008	6	7	Sat
876272	40470	Racine	2014-07-12	A	1113	2014	7	12	Sat
876283	40470	Racine	2013-04-05	W	2681	2013	4	5	Fri
876420	40470	Racine	2004-12-27	W	797	2004	12	27	Mon
876607	40470	Racine	2015-03-21	A	1075	2015	3	21	Sat
876796	40470	Racine	2001-08-04	A	717	2001	8	4	Sat
876850	40470	Racine	2005-05-22	U	641	2005	5	22	Sun
